Timestamp,X_Accel_g,Y_Accel_g,Z_Accel_g
473,-0.303223,-0.897461,-0.377441
474,-0.365723,-0.880859,-0.291992
475,-0.410645,-0.898926,-0.123535
476,-0.459473,-0.899902,-0.063477
477,-0.375,-0.910645,-0.187012
478,-0.320312,-0.867188,-0.399414
479,-0.25293,-0.789551,-0.569824
480,-0.193359,-0.85498,-0.571777
481,-0.167969,-0.728516,-0.668457
482,-0.093262,-0.698242,-0.671875
483,0.12793,-0.770508,-0.689941
484,0.215332,-0.901367,-0.600098
485,0.243164,-0.916992,-0.579102
486,0.095215,-0.911621,-0.433105
487,0.260254,-0.92041,-0.370605
488,0.303711,-0.87207,-0.420898
489,0.386719,-0.92627,-0.356934
490,0.443359,-0.998047,-0.383789
491,0.174805,-0.994629,-0.035156
492,0.242676,-1.055664,-0.022949
493,0.195312,-0.979004,-0.027832
494,0.212402,-0.993164,-0.101074
495,0.258789,-0.941895,-0.23584
496,0.367676,-0.986328,-0.336914
497,0.263184,-0.944824,-0.419434
498,0.11377,-0.849609,-0.552246
499,-0.098633,-0.86084,-0.553711
500,-0.217285,-0.797363,-0.635254
501,-0.32666,-0.77002,-0.574219
502,-0.43457,-0.683594,-0.600098
503,-0.614746,-0.580566,-0.567383
504,-0.712891,-0.47168,-0.512207
505,-0.79248,-0.433105,-0.479492
506,-0.802246,-0.377441,-0.466309
507,-0.820801,-0.367676,-0.547852
508,-0.677734,-0.363281,-0.622559
509,-0.553223,-0.281738,-0.740234
510,-0.40625,-0.299805,-0.859375
511,-0.206055,-0.299316,-0.927246
512,0.030762,-0.378906,-0.945312
513,0.17627,-0.416504,-0.97168
514,0.248535,-0.49707,-0.872559
515,0.28418,-0.533691,-0.882324
516,0.158203,-0.606934,-0.871094
517,-0.004883,-0.633301,-0.834473
518,-0.678223,-0.680176,-0.321289
519,-0.327148,-0.588867,-0.806641
520,-0.359863,-0.527832,-0.761719
521,-0.364258,-0.599609,-0.728027
522,-0.329102,-0.634277,-0.753906
523,-0.251953,-0.65918,-0.744629
524,-0.243652,-0.69873,-0.708008
525,-0.21582,-0.734863,-0.71582
526,-0.172852,-0.705566,-0.726562
527,-0.153809,-0.746094,-0.691406
528,-0.100098,-0.790039,-0.661621
529,-0.067383,-0.830566,-0.597656
530,-0.053223,-0.904297,-0.503418
531,-0.04248,-0.947754,-0.416504
532,-0.024414,-0.953613,-0.404785
533,-0.030273,-0.918457,-0.536133
534,-0.154297,-0.36377,-0.448242
535,-0.072754,-0.704102,-0.775391
536,-0.108398,-0.568359,-0.867676
537,-0.050293,-0.405273,-0.967773
538,-0.064941,-0.353027,-0.996582
539,-0.036133,-0.231445,-1.035156
540,-0.043457,-0.111816,-1.015625
541,0.017578,0.000488,-1.033203
542,0.027344,0.088867,-1.04541
543,0.0625,0.187988,-1.072266
544,0.055664,0.222656,-1.055176
545,0.117188,0.29248,-0.991211
546,0.136719,0.374512,-0.980469
547,0.076172,0.464355,-0.928223
548,0.119141,0.64502,-0.843262
549,0.002441,0.560547,-0.870117
550,-0.09082,0.609375,-0.81543
