Timestamp,X_Mag_Ga,Y_Mag_Ga,Z_Mag_Ga
684,0.00365,-0.075182,-0.044526
685,-0.013139,-0.075912,-0.054745
686,-0.029927,-0.069343,-0.058394
687,-0.041606,-0.067153,-0.060584
688,-0.054745,-0.066423,-0.065693
689,-0.070073,-0.086861,-0.086131
690,-0.080292,-0.110949,-0.10146
691,-0.084672,-0.132847,-0.112409
692,-0.093431,-0.132847,-0.112409
693,-0.087591,-0.129927,-0.110949
694,-0.083212,-0.143066,-0.116058
695,-0.107299,-0.178102,-0.126277
696,-0.125547,-0.20073,-0.128467
697,-0.135766,-0.237956,-0.127737
698,-0.136496,-0.266423,-0.122628
699,-0.137956,-0.292701,-0.117518
700,-0.134307,-0.305109,-0.115328
701,-0.118978,-0.332847,-0.10292
702,-0.111679,-0.357664,-0.086861
703,-0.111679,-0.384672,-0.066423
704,-0.111679,-0.4,-0.050365
705,-0.110219,-0.427737,-0.006569
706,-0.128467,-0.438686,0.019708
707,-0.150365,-0.437956,0.025547
708,-0.167883,-0.437956,0.036496
709,-0.172263,-0.436496,0.042336
710,-0.194161,-0.432847,0.055474
711,-0.206569,-0.425547,0.052555
712,-0.232847,-0.413139,0.060584
713,-0.259854,-0.393431,0.056934
714,-0.278102,-0.374453,0.051095
715,-0.287591,-0.361314,0.047445
716,-0.294891,-0.351095,0.048175
717,-0.30292,-0.334307,0.041606
718,-0.313869,-0.312409,0.037956
719,-0.330657,-0.262044,0.051825
720,-0.332117,-0.213869,0.044526
721,-0.323358,-0.213869,0.044526
722,-0.314599,-0.148175,0.031387
723,-0.306569,-0.125547,0.033577
724,-0.294891,-0.105839,0.033577
725,-0.276642,-0.078832,0.041606
