Timestamp,X_Mag_Raw,Y_Mag_Raw,Z_Mag_Raw
427,-0.264964,-0.316788,-0.059124
428,-0.275182,-0.29854,-0.058394
429,-0.278832,-0.267153,-0.066423
430,-0.283942,-0.252555,-0.065693
431,-0.308029,-0.235766,-0.037956
432,-0.305839,-0.208029,-0.039416
433,-0.30073,-0.156934,-0.032117
434,-0.259854,-0.110949,-0.051095
435,-0.243796,-0.083212,-0.042336
436,-0.212409,-0.054015,-0.035036
437,-0.113869,-0.013869,-0.016058
438,0.013869,-0.056934,-0.010219
439,0.070803,-0.116788,-0.00146
440,0.09562,-0.188321,0.007299
441,0.09708,-0.255474,0.014599
442,0.079562,-0.313869,0.022628
443,0.064234,-0.342336,0.027737
444,0.036496,-0.372993,0.023358
445,0.023358,-0.386861,0.028467
446,0.00438,-0.40219,0.024818
447,-0.034307,-0.417518,0.005109
448,-0.070803,-0.425547,-0.005109
449,-0.105839,-0.424818,-0.016058
450,-0.157664,-0.424818,-0.011679
451,-0.217518,-0.39854,-0.024818
452,-0.269343,-0.358394,-0.022628
453,-0.29635,-0.322628,-0.021898
454,-0.313869,-0.289051,-0.016788
455,-0.30073,-0.264964,-0.046715
456,-0.29562,-0.270803,-0.051825
457,-0.29562,-0.283212,-0.047445
458,-0.29562,-0.284672,-0.045255
459,-0.294161,-0.29562,-0.042336
460,-0.292701,-0.308029,-0.040876
461,-0.288321,-0.320438,-0.036496
462,-0.283942,-0.334307,-0.033577
463,-0.283212,-0.345255,-0.025547
464,-0.283212,-0.354015,-0.016058
465,-0.289781,-0.350365,-0.009489
466,-0.30146,-0.335036,-0.010219
467,-0.30219,-0.339416,-0.00438
468,-0.29927,-0.357664,0.013139
469,-0.305109,-0.366423,0.044526
470,-0.310949,-0.362044,0.078102
471,-0.316788,-0.349635,0.112409
472,-0.310949,-0.335766,0.152555
473,-0.29927,-0.333577,0.176642
474,-0.289781,-0.336496,0.187591
475,-0.265693,-0.345985,0.20292
476,-0.262044,-0.348905,0.20438
477,-0.259854,-0.347445,0.20438
478,-0.257664,-0.344526,0.206569
479,-0.251095,-0.343796,0.211679
480,-0.242336,-0.340876,0.216788
481,-0.237956,-0.340146,0.219708
482,-0.230657,-0.341606,0.221898
483,-0.224088,-0.343796,0.224818
484,-0.216058,-0.346715,0.227737
485,-0.20438,-0.353285,0.227737
486,-0.190511,-0.362774,0.226277
487,-0.177372,-0.370073,0.224088
488,-0.169343,-0.377372,0.218978
489,-0.165693,-0.384672,0.213139
490,-0.164234,-0.392701,0.205109
491,-0.169343,-0.39927,0.19635
492,-0.177372,-0.40365,0.184672
493,-0.20146,-0.405839,0.168613
494,-0.227737,-0.40292,0.148175
495,-0.248175,-0.39854,0.130657
496,-0.253285,-0.39781,0.116788
497,-0.252555,-0.40292,0.10073
498,-0.255474,-0.39854,0.081022
499,-0.262774,-0.393431,0.062774
500,-0.278102,-0.372993,0.037956
501,-0.293431,-0.346715,0.023358
502,-0.307299,-0.316788,0.019708
503,-0.316058,-0.29635,0.021898
504,-0.323358,-0.278102,0.026277
505,-0.326277,-0.258394,0.029197
506,-0.329927,-0.238686,0.031387
507,-0.330657,-0.210219,0.034307
508,-0.327737,-0.181752,0.036496
509,-0.323358,-0.157664,0.042336
510,-0.317518,-0.141606,0.047445
511,-0.317518,-0.132117,0.053285
512,-0.316788,-0.128467,0.059124
513,-0.314599,-0.118978,0.066423
514,-0.310949,-0.110219,0.072993
515,-0.30438,-0.094891,0.081022
516,-0.291971,-0.076642,0.087591
517,-0.266423,-0.046715,0.089781
518,-0.248175,-0.032117,0.09781
519,-0.232117,-0.021898,0.105839
520,-0.216058,-0.014599,0.113139
521,-0.205839,-0.013869,0.121898
522,-0.193431,-0.013869,0.131387
523,-0.181752,-0.020438,0.153285
524,-0.166423,-0.021168,0.161314
525,-0.145255,-0.023358,0.167883
526,-0.140876,-0.022628,0.168613
527,-0.121168,-0.016058,0.159124
528,-0.089051,-0.015328,0.153285
529,-0.030657,-0.032847,0.152555
530,0.021898,-0.067153,0.153285
531,0.066423,-0.123358,0.151825
532,0.083942,-0.176642,0.151825
533,0.089781,-0.225547,0.148175
534,0.081752,-0.281022,0.143066
535,0.066423,-0.319708,0.135036
536,0.049635,-0.357664,0.118248
537,0.025547,-0.386131,0.1
538,-0.007299,-0.412409,0.074453
539,-0.054745,-0.429927,0.038686
540,-0.107299,-0.435036,0.016058
541,-0.154745,-0.430657,0.005109
542,-0.175182,-0.421898,-0.00438
543,-0.190511,-0.413869,-0.010949
544,-0.211679,-0.40219,-0.013869
545,-0.226277,-0.392701,-0.017518
546,-0.238686,-0.375912,-0.028467
547,-0.250365,-0.354745,-0.041606
548,-0.251825,-0.339416,-0.055474
549,-0.240146,-0.329927,-0.070803
550,-0.224818,-0.326277,-0.082482
551,-0.205839,-0.328467,-0.091241
552,-0.168613,-0.340876,-0.09781
553,-0.113139,-0.344526,-0.10219
554,-0.089781,-0.340146,-0.10365
555,-0.058394,-0.336496,-0.09927
556,-0.027737,-0.326277,-0.092701
557,-0.006569,-0.319708,-0.086131
558,0.005109,-0.318978,-0.078832
559,0.016788,-0.319708,-0.072263
560,0.027007,-0.317518,-0.063504
561,0.045255,-0.306569,-0.054745
562,0.061314,-0.290511,-0.045255
563,0.076642,-0.271533,-0.032847
564,0.089781,-0.247445,-0.021168
565,0.09854,-0.218248,-0.006569
566,0.10292,-0.181022,0.010219
567,0.1,-0.148905,0.025547
568,0.088321,-0.115328,0.034307
569,0.068613,-0.082482,0.035036
570,0.040876,-0.051825,0.035766
571,0.036496,-0.051095,0.025547
572,0.043796,-0.058394,0.024818
573,0.044526,-0.062044,0.018978
574,0.027007,-0.050365,0.010949
575,-0.008029,-0.030657,-0.00073
576,-0.045985,-0.022628,-0.015328
577,-0.076642,-0.021898,-0.029197
578,-0.113139,-0.022628,-0.036496
579,-0.126277,-0.027007,-0.041606
580,-0.152555,-0.035766,-0.046715
581,-0.184672,-0.059124,-0.062774
582,-0.208759,-0.077372,-0.066423
583,-0.227737,-0.09562,-0.068613
584,-0.229197,-0.105839,-0.073723
585,-0.219708,-0.121168,-0.086861
586,-0.213139,-0.140146,-0.10146
587,-0.194891,-0.132847,-0.105839
588,-0.172993,-0.129197,-0.111679
589,-0.145985,-0.133577,-0.118978
590,-0.10073,-0.112409,-0.111679
591,-0.065693,-0.10146,-0.10146
592,-0.035036,-0.09927,-0.090511
593,-0.015328,-0.10146,-0.083212
594,0.005839,-0.105109,-0.070803
595,0.018978,-0.108759,-0.065693
596,0.029927,-0.113869,-0.059854
597,0.059124,-0.121168,-0.030657
598,0.080292,-0.135766,-0.006569
599,0.083942,-0.142336,-0.00365
600,0.091241,-0.162044,-0.00073
601,0.09708,-0.167153,0.013869
602,0.10219,-0.170803,0.033577
603,0.105839,-0.178102,0.055474
604,0.106569,-0.189051,0.085401
605,0.10365,-0.194161,0.108029
606,0.10219,-0.19635,0.115328
607,0.09562,-0.20146,0.137226
608,0.086131,-0.208029,0.159124
609,0.078102,-0.213139,0.174453
610,0.070073,-0.216058,0.187591
611,0.065693,-0.217518,0.192701
612,0.057664,-0.213139,0.20146
613,0.048905,-0.214599,0.211679
614,0.043066,-0.217518,0.219708
615,0.026277,-0.227737,0.229927
616,0.010949,-0.239416,0.240876
617,0.00219,-0.244526,0.245255
618,-0.009489,-0.253285,0.251825
619,-0.024088,-0.259854,0.256934
620,-0.045985,-0.271533,0.263504
621,-0.066423,-0.285401,0.265693
622,-0.085401,-0.29635,0.266423
623,-0.09854,-0.308029,0.264964
624,-0.10438,-0.318248,0.260584
625,-0.130657,-0.340146,0.249635
626,-0.158394,-0.341606,0.246715
627,-0.181752,-0.327737,0.250365
628,-0.19854,-0.30292,0.256204
629,-0.220438,-0.270073,0.257664
630,-0.224818,-0.245255,0.259854
631,-0.232117,-0.225547,0.257664
632,-0.229197,-0.215328,0.259124
633,-0.227737,-0.19562,0.257664
634,-0.228467,-0.175182,0.253285
635,-0.222628,-0.150365,0.250365
636,-0.216058,-0.132847,0.245985
637,-0.209489,-0.116788,0.241606
638,-0.210949,-0.09562,0.227737
639,-0.20365,-0.075182,0.214599
640,-0.174453,-0.052555,0.205839
641,-0.150365,-0.029197,0.183942
642,-0.137226,-0.013139,0.159124
643,-0.125547,0.00073,0.125547
644,-0.111679,0.008759,0.088321
645,-0.09708,0.005839,0.043796
646,-0.093431,-0.00438,0.008029
647,-0.089051,-0.016058,-0.019708
648,-0.089781,-0.040146,-0.054015
649,-0.069343,-0.081752,-0.089781
650,-0.059854,-0.108759,-0.105839
651,-0.051095,-0.147445,-0.117518
652,-0.043796,-0.20146,-0.128467
653,-0.054015,-0.256934,-0.129197
654,-0.045255,-0.313139,-0.108759
655,-0.043796,-0.335036,-0.09635
656,-0.050365,-0.380292,-0.064234
657,-0.055474,-0.40219,-0.042336
658,-0.068613,-0.413139,-0.027737
659,-0.079562,-0.434307,0.012409
660,-0.09708,-0.445985,0.070803
661,-0.118248,-0.441606,0.119708
662,-0.142336,-0.430657,0.153285
663,-0.166423,-0.416788,0.172263
664,-0.185401,-0.40219,0.186861
665,-0.19854,-0.391971,0.194161
666,-0.215328,-0.376642,0.20146
667,-0.225547,-0.365693,0.205109
668,-0.262774,-0.328467,0.208759
669,-0.291971,-0.310949,0.187591
670,-0.29781,-0.30219,0.185401
671,-0.310949,-0.281752,0.179562
672,-0.322628,-0.254015,0.167153
673,-0.328467,-0.210949,0.159124
674,-0.327007,-0.171533,0.148175
675,-0.319708,-0.140876,0.141606
